Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
2016-11-28,38.84949875,38.84999847,38.2120018,38.33850098,88776000,2.0,2.0,6.0,4.0,2.0,4.0,
2016-11-29,38.40000153,38.49449921,38.06600189,38.12599945,65446000,,4.0,4.0,3.0,3.0,3.0,3.0
2016-11-30,38.09999847,38.40449905,37.51250076,37.5284996,92518000,,6.0,3.0,,3.0,6.0,
2016-12-01,37.62049866,37.66849899,36.9015007,37.18249893,93320000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-12-02,37.16999817,37.42449951,36.83499908,37.01699829,71226000,,12.0,7.0,,8.0,8.0,3.0
2016-12-05,37.25,38.07450104,37.09999847,37.9679985,86294000,18.0,20.0,,15.0,15.0,8.0,
2016-12-06,38.19950104,38.41199875,37.86249924,38.23600006,75894000,20.0,,8.0,15.0,15.0,,18.0
2016-12-07,38.22750092,38.52099991,37.79100037,38.52099991,73698000,,,18.0,18.0,,18.0,18.0
2016-12-08,38.59349823,38.6894989,38.2594986,38.36650085,63792000,,10.0,10.0,,8.0,12.0,
2016-12-09,38.5,38.51250076,38.26699829,38.43299866,49418000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-12-12,38.31999969,38.3445015,37.86000061,38.00600052,59278000,,6.0,3.0,,3.0,6.0,
2016-12-13,38.2480011,39.1230011,38.09999847,38.71699905,105706000,8.0,8.0,4.0,6.0,6.0,6.0,6.0
2016-12-14,38.91249847,39.04299927,38.14049911,38.44100189,109096000,,3.0,2.0,,5.0,,
2016-12-15,38.31399918,38.45500183,38.01549911,38.04999924,76038000,4.0,4.0,3.0,5.0,,8.0,
2016-12-16,38.25,38.25650024,37.70000076,37.88850021,96964000,3.0,4.0,3.0,6.0,8.0,3.0,3.0
2016-12-19,37.94449997,38.52500153,37.80799866,38.29999924,62264000,6.0,6.0,12.0,6.0,6.0,6.0,6.0
2016-12-20,38.43249893,38.7195015,38.38550186,38.56100082,54072000,,15.0,,9.0,12.0,,6.0
2016-12-21,38.5,38.56100082,38.28499985,38.52999878,40892000,15.0,4.0,12.0,14.0,4.0,8.0,11.0
2016-12-22,38.40599823,38.5605011,38.15100098,38.31700134,50872000,3.0,3.0,6.0,3.0,6.0,9.0,
2016-12-23,38.22750092,38.32500076,37.8995018,38.02949905,39632000,2.0,2.0,2.0,4.0,4.0,2.0,
2016-12-27,38.16999817,38.73249817,38.06000137,38.56999969,52774000,,5.0,6.0,4.0,4.0,4.0,3.0
2016-12-28,38.8125,39.0,38.52500153,38.60649872,66020000,,9.0,3.0,10.0,8.0,,6.0
2016-12-29,38.61999893,38.66999817,38.04249954,38.25749969,63166000,6.0,3.0,10.0,8.0,,9.0,
2016-12-30,38.32350159,38.36999893,37.41400146,37.49349976,82788000,4.0,4.0,4.0,3.0,6.0,5.0,
2017-01-03,37.89599991,37.93799973,37.38499832,37.68349838,70422000,2.0,2.0,8.0,6.0,4.0,2.0,4.0
2017-01-04,37.91949844,37.98400116,37.70999908,37.85900116,50210000,,8.0,3.0,3.0,5.0,3.0,4.0
2017-01-05,38.07749939,39.11999893,38.01300049,39.02249908,116602000,13.0,8.0,4.0,16.0,4.0,9.0,
2017-01-06,39.11800003,39.97200012,38.92399979,39.79949951,119724000,12.0,,21.0,,21.0,,12.0
